script_path,syntax_status,safety_status,runnable_status,notes
03_TOOLS/scripts/kicad_schematic_checks/check_needs_review_markers.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_schematic_checks/check_schematic_annotation.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_schematic_checks/check_schematic_completeness.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_schematic_checks/schematic_check_common.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/build_history_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/build_memory_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/closeout_session.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/create_failed_attempt.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/create_issue_log.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/create_lesson_learned.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/create_session_log.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/create_user_correction.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/memory_history_common.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/update_global_memory_stub.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/memory_history/update_project_memory_stub.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/new_kicad_project_workspace.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/project_validation/check_bom_has_datasheets.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_component_database_matches.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_connector_orientation_review_needed.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_missing_3d_models.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_missing_footprints.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_project_libraries.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/check_unconnected_power.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/project_validation/validate_kicad_project.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/run_drc.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/run_erc.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/windows/repos/AutoHotkey/source/scripts/minman.js,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/FlaUI/build.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/windows/repos/SikuliX1/API/src/main/resources/htdocs/ControlBox.js,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/API/src/main/resources/images/images.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/HTMLTestRunner.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/XMLTestRunner1.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/XMLTestRunner2.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/guide/__init__.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/sikuli/Env.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/windows/repos/SikuliX1/IDE/src/main/resources/Lib/sikuli/Finder.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
